work_year,job_title,job_category,salary_in_usd,experience_level,company_location
2023,Data Analyst,Data Analysis,145000,Senior,United States
2023,Data Analyst,Data Analysis,106000,Senior,United States
2023,Decision Scientist,Data Science and Research,172256,Senior,United Kingdom
2023,Decision Scientist,Data Science and Research,123040,Senior,United Kingdom
2023,Data Engineer,Data Engineering,269100,Senior,United States
2023,Data Engineer,Data Engineering,131300,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,220000,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,150000,Senior,United States
2023,Data Engineer,Data Engineering,73824,Senior,United Kingdom
2023,Data Engineer,Data Engineering,61520,Senior,United Kingdom
2023,Research Scientist,Data Science and Research,252990,Mid-level,United States
2023,Research Scientist,Data Science and Research,162170,Mid-level,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,260000,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,235000,Senior,United States
2023,Data Analytics Manager,Leadership and Management,190000,Senior,United States
2023,Data Analytics Manager,Leadership and Management,145000,Senior,United States
2023,Data Scientist,Data Science and Research,212800,Senior,United States
2023,Data Scientist,Data Science and Research,111600,Senior,United States
2023,Data Analyst,Data Analysis,130000,Senior,United States
2023,Business Intelligence Analyst,BI and Visualization,194521,Senior,United States
2023,Business Intelligence Analyst,BI and Visualization,176838,Senior,United States
